crop_name,variety_name,crop_type,growth_stage,soil_type,soil_texture,soil_pH,soil_organic_matter_pct,soil_nitrogen,soil_phosphorus,soil_potassium,soil_salinity,weather_temp_C,weather_min_temp_C,weather_max_temp_C,weather_rainfall_mm,weather_humidity_pct,weather_wind_speed_kmph,weather_sunlight_hours,irrigation_type,irrigation_frequency_per_week,irrigation_volume_liters_per_hectare,recommended_crop,recommended_variety,fertilizer_type,fertilizer_brand,fertilizer_dosage_kg_per_hectare,fertilizer_application_stage,pest_disease_detected,disease_severity,treatment_suggested,treatment_method,yield_prediction_kg_per_hectare,expected_yield_range,harvest_time_days,harvest_method,post_harvest_storage,market_price_per_kg,market_demand_index,budget_estimate_usd,cost_breakdown_fertilizer_usd,cost_breakdown_labor_usd,cost_breakdown_irrigation_usd,profit_prediction_usd,gm_crop,gm_trait,planting_strategy_notes,sustainability_score,last_updated
Potato,Potato_Variety_3,Tuber,Flowering,Sandy,Medium,6.78,4.06,89,56,8,0.91,18.3,13.879784142115335,22.742830860286894,809.4,44.6,17.4,6.9,Sprinkler,5,2596.5,Sugarcane,Sugarcane_Variety_3,NPK,Brand_4,110.2,Pre-plant,Leaf Spot,High,Fungicide B,Soil Drench,4295.3,3865-4724,103,Manual,Warehouse,32.96,0.99,7914.47,1792.37,2785.92,725.09,133658.62,Yes,Pest Resistance,Plant Potato in Sandy soil with Sprinkler irrigation.,0.56,2024-11-24
Maize,Maize_Variety_2,Fiber,Harvesting,Chalky,Medium,6.77,4.55,64,83,4,0.16,30.9,25.911670498821127,34.244163703877305,453.8,30.5,5.6,7.8,Drip,6,4579.6,Soybean,Soybean_Variety_4,NPK,Brand_6,120.9,Flowering,Blight,None,None,Spray,2765.7,2489-3042,82,Mechanical,Warehouse,41.98,0.61,9215.16,1390.61,2532.31,848.92,106888.93,No,None,Plant Maize in Chalky soil with Drip irrigation.,0.36,2024-10-13
Cotton,Cotton_Variety_5,Cereal,Flowering,Sandy,Fine,5.65,4.28,27,12,8,1.21,28.9,24.71117343008862,31.528827646098414,498.3,51.1,7.9,4.8,Manual,7,4570.6,Rice,Rice_Variety_2,DAP,Brand_10,200.7,Post-emergence,Blight,Low,Neem Oil,Spray,4534.2,4080-4987,169,Manual,Cold Storage,45.42,0.42,5363.7,1461.84,3284.17,1216.01,200579.66,Yes,Pest Resistance,Plant Cotton in Sandy soil with Manual irrigation.,0.48,2025-03-24
Barley,Barley_Variety_2,Legume,Seeding,Clay,Coarse,6.15,4.8,68,28,16,0.64,16.4,12.406636524498314,20.009794202072072,766.7,58.4,0.7,7.4,Drip,7,1148.6,Maize,Maize_Variety_2,Vermicompost,Brand_5,264.3,Post-emergence,Aphids,Low,Neem Oil,Soil Drench,4911.6,4420-5402,197,Manual,Cold Storage,49.74,0.3,14670.07,1652.99,2407.99,810.54,229632.91,Yes,Drought Resistance,Plant Barley in Clay soil with Drip irrigation.,0.14,2024-07-06
Rice,Rice_Variety_3,Cereal,Vegetative,Peaty,Coarse,7.32,1.98,76,55,9,0.15,34.6,32.063369400559914,39.47451161858292,723.0,59.9,6.5,4.4,Sprinkler,4,1294.7,Cotton,Cotton_Variety_2,DAP,Brand_5,153.2,Post-emergence,Stem Borer,Medium,Pesticide A,Spray,5808.6,5227-6389,81,Manual,Open Shed,15.76,0.39,10375.42,1339.99,3731.08,1166.48,81168.12,Yes,None,Plant Rice in Peaty soil with Sprinkler irrigation.,0.99,2024-06-11
Maize,Maize_Variety_4,Legume,Harvesting,Peaty,Fine,8.0,1.99,33,49,74,1.38,19.9,16.659747628793315,23.535748325640412,533.1,67.5,4.5,9.5,Surface,4,2341.2,Wheat,Wheat_Variety_4,NPK,Brand_3,140.6,Post-emergence,Root Rot,High,None,Seed Treatment,3315.2,2983-3646,80,Mechanical,Open Shed,48.49,0.6,14678.56,1898.85,3601.81,593.81,146075.49,Yes,High Yield,Plant Maize in Peaty soil with Surface irrigation.,0.17,2024-04-25
Soybean,Soybean_Variety_1,Tuber,Harvesting,Sandy,Medium,7.15,1.38,24,11,17,1.24,17.4,13.789931186945113,21.789551688220232,297.4,37.6,11.0,9.4,Sprinkler,4,1189.0,Soybean,Soybean_Variety_2,Vermicompost,Brand_8,168.7,Post-emergence,Root Rot,High,Pesticide A,Soil Drench,4923.6,4431-5415,142,Manual,Warehouse,24.77,0.89,11228.43,604.79,3682.59,1402.46,110729.14,No,None,Plant Soybean in Sandy soil with Sprinkler irrigation.,0.4,2024-06-16
Cotton,Cotton_Variety_5,Legume,Flowering,Loamy,Fine,6.67,4.77,51,75,43,0.24,28.0,24.66291023939669,30.92329358658128,573.5,73.7,13.4,5.3,Sprinkler,2,4490.1,Wheat,Wheat_Variety_2,Urea,Brand_5,207.0,Flowering,Root Rot,High,None,Seed Treatment,5130.9,4617-5643,170,Manual,Warehouse,39.62,0.72,7062.13,1939.2,1166.04,1425.8,196224.13,Yes,None,Plant Cotton in Loamy soil with Sprinkler irrigation.,0.88,2024-11-15
Cotton,Cotton_Variety_5,Legume,Vegetative,Sandy,Coarse,6.18,4.53,6,87,71,0.56,38.4,36.11311996497515,43.232341128388576,272.7,59.9,18.4,4.2,Surface,6,2259.6,Barley,Barley_Variety_1,Vermicompost,Brand_5,200.7,Flowering,Stem Borer,Low,None,Spray,7673.1,6905-8440,110,Manual,Cold Storage,44.56,0.81,18629.14,1622.83,3410.79,1152.3,323284.2,No,None,Plant Cotton in Sandy soil with Surface irrigation.,0.4,2024-04-22
Soybean,Soybean_Variety_5,Tuber,Seeding,Loamy,Coarse,7.3,3.6,30,1,50,0.95,21.8,17.594547808616806,24.0814522730859,1123.2,86.0,5.8,7.4,Surface,7,4134.2,Wheat,Wheat_Variety_5,Vermicompost,Brand_1,238.9,Flowering,Aphids,None,Fungicide B,Soil Drench,6423.2,5780-7065,145,Mechanical,Warehouse,17.87,0.26,5220.85,820.42,2096.38,1356.12,109561.73,Yes,None,Plant Soybean in Loamy soil with Surface irrigation.,0.99,2024-07-31
Rice,Rice_Variety_4,Fiber,Flowering,Loamy,Medium,6.02,1.81,30,16,14,1.36,19.6,15.38002888880445,23.21166978536787,998.8,62.8,1.9,10.1,Surface,4,3795.2,Rice,Rice_Variety_4,Compost,Brand_4,138.0,Flowering,None,None,None,None,3767.4,3390-4144,107,Mechanical,Open Shed,36.81,0.56,5234.08,987.02,3511.26,1164.94,133443.91,No,None,Plant Rice in Loamy soil with Surface irrigation.,0.26,2024-05-04
Cotton,Cotton_Variety_1,Legume,Seeding,Peaty,Coarse,7.19,1.92,49,23,38,0.66,19.8,15.800251140720869,22.807716920412183,409.6,48.3,3.7,11.0,Drip,7,839.3,Rice,Rice_Variety_2,NPK,Brand_4,289.1,Post-emergence,Blight,Low,Biological Control,Soil Drench,1171.8,1054-1288,114,Manual,Cold Storage,45.45,0.99,10524.4,681.29,2334.71,1355.33,42733.91,No,None,Plant Cotton in Peaty soil with Drip irrigation.,0.07,2024-06-15
Sugarcane,Sugarcane_Variety_4,Legume,Harvesting,Loamy,Medium,7.63,3.36,39,78,49,0.85,37.0,34.907872028449184,40.719173526990886,300.5,65.8,4.8,8.7,Drip,4,2826.4,Sugarcane,Sugarcane_Variety_5,Compost,Brand_4,50.7,Post-emergence,Aphids,High,Biological Control,Spray,6663.0,5996-7329,150,Mechanical,Warehouse,32.83,0.0,18057.5,802.44,1930.9,1224.11,200688.79,No,None,Plant Sugarcane in Loamy soil with Drip irrigation.,0.02,2024-08-27
Soybean,Soybean_Variety_3,Fiber,Harvesting,Chalky,Fine,5.8,4.22,83,62,84,1.41,32.2,28.06600225067334,34.48733152446375,858.8,43.7,9.2,4.7,Sprinkler,3,1455.8,Sugarcane,Sugarcane_Variety_1,Compost,Brand_2,82.3,Post-emergence,Blight,High,None,Spray,7292.7,6563-8021,158,Mechanical,Cold Storage,28.11,0.61,16479.71,1827.88,4593.65,999.03,188518.09,Yes,None,Plant Soybean in Chalky soil with Sprinkler irrigation.,0.31,2025-01-21
Sugarcane,Sugarcane_Variety_1,Tuber,Seeding,Peaty,Medium,5.6,3.03,7,96,12,0.81,37.9,33.551328329007156,40.72349601688715,607.0,57.6,3.9,9.1,Surface,1,767.2,Maize,Maize_Variety_5,DAP,Brand_5,235.5,Pre-plant,Leaf Spot,Medium,Neem Oil,Seed Treatment,3387.7,3048-3726,173,Manual,Open Shed,14.17,0.55,16246.08,700.37,4779.25,1415.13,31757.63,Yes,Pest Resistance,Plant Sugarcane in Peaty soil with Surface irrigation.,0.43,2024-06-02
Maize,Maize_Variety_3,Fiber,Harvesting,Peaty,Coarse,6.49,1.19,6,39,72,1.46,27.5,24.003969691522176,30.394204425782377,829.7,72.9,11.3,4.7,Surface,2,3206.4,Rice,Rice_Variety_4,Urea,Brand_2,196.2,Pre-plant,Aphids,None,Neem Oil,Spray,2454.3,2208-2699,189,Manual,Warehouse,17.7,0.48,18625.87,505.17,3525.68,1043.86,24815.24,No,None,Plant Maize in Peaty soil with Surface irrigation.,0.25,2024-12-25
Maize,Maize_Variety_3,Legume,Vegetative,Loamy,Fine,6.59,1.15,72,75,99,1.1,24.4,19.659972049351865,29.373227592966735,485.8,44.1,4.6,9.3,Drip,2,725.1,Sugarcane,Sugarcane_Variety_1,Urea,Brand_7,282.6,Post-emergence,Stem Borer,Medium,None,Seed Treatment,3446.3,3101-3790,138,Mechanical,Warehouse,32.39,0.6,5044.16,789.14,4713.43,1266.59,106581.5,No,None,Plant Maize in Loamy soil with Drip irrigation.,0.06,2025-03-20
Barley,Barley_Variety_3,Tuber,Flowering,Sandy,Coarse,5.96,3.24,62,38,45,0.73,30.0,27.169855126499677,33.20165178710667,917.0,77.7,9.0,7.8,Drip,4,4053.4,Wheat,Wheat_Variety_3,Urea,Brand_9,251.9,Post-emergence,None,None,None,None,2933.7,2640-3227,88,Manual,Cold Storage,16.78,0.88,15272.03,1684.64,2992.79,862.44,33955.46,Yes,None,Plant Barley in Sandy soil with Drip irrigation.,0.44,2024-05-15
Maize,Maize_Variety_3,Fiber,Flowering,Peaty,Coarse,6.34,1.66,20,100,34,0.25,27.4,24.931394649832875,31.798526060571096,633.1,63.5,12.8,7.5,Manual,2,2968.3,Soybean,Soybean_Variety_2,Compost,Brand_9,77.1,Post-emergence,Aphids,None,Pesticide A,Seed Treatment,4732.2,4258-5205,194,Mechanical,Warehouse,36.87,0.52,5345.13,823.93,3529.65,1435.63,169131.08,No,None,Plant Maize in Peaty soil with Manual irrigation.,0.22,2025-01-24
Soybean,Soybean_Variety_5,Fiber,Harvesting,Peaty,Medium,7.16,3.31,1,34,0,0.61,25.0,21.499179038322566,29.303597495406844,365.1,66.2,5.8,8.3,Drip,7,3164.5,Sugarcane,Sugarcane_Variety_4,Urea,Brand_2,117.2,Flowering,Leaf Spot,None,Biological Control,Seed Treatment,3883.7,3495-4272,96,Mechanical,Warehouse,22.51,0.75,18340.61,525.32,1570.43,1281.68,69081.48,No,None,Plant Soybean in Peaty soil with Drip irrigation.,0.21,2025-03-01
Cotton,Cotton_Variety_5,Cereal,Flowering,Loamy,Medium,6.02,2.0,28,47,17,1.21,26.6,23.67595119553544,29.61998535389572,529.7,32.0,16.2,10.9,Surface,7,4448.5,Wheat,Wheat_Variety_1,Compost,Brand_8,152.2,Pre-plant,Root Rot,None,Biological Control,Soil Drench,6416.4,5774-7058,188,Mechanical,Cold Storage,10.11,0.75,19588.78,951.63,4300.51,948.23,45281.02,Yes,Pest Resistance,Plant Cotton in Loamy soil with Surface irrigation.,0.3,2025-01-27
Soybean,Soybean_Variety_3,Fiber,Seeding,Sandy,Coarse,7.99,2.55,92,44,7,0.96,38.1,34.67323125748992,40.82855906960693,761.1,62.4,4.5,11.6,Manual,1,4370.0,Rice,Rice_Variety_2,Vermicompost,Brand_6,135.3,Flowering,None,None,None,None,4058.0,3652-4463,113,Manual,Cold Storage,40.46,0.65,12698.18,1311.49,3882.18,1423.87,151488.5,Yes,High Yield,Plant Soybean in Sandy soil with Manual irrigation.,0.47,2024-06-18
Rice,Rice_Variety_1,Cereal,Vegetative,Silty,Medium,7.32,3.48,50,69,28,1.5,34.8,30.184060145578197,37.43641543258674,746.6,69.4,8.0,8.6,Surface,3,535.5,Soybean,Soybean_Variety_3,DAP,Brand_8,220.4,Pre-plant,Blight,None,None,Seed Treatment,2259.6,2033-2485,99,Manual,Open Shed,7.4,0.31,6025.06,1498.23,2099.44,818.19,10695.98,No,None,Plant Rice in Silty soil with Surface irrigation.,0.41,2025-02-07
Maize,Maize_Variety_3,Tuber,Flowering,Loamy,Coarse,7.25,1.67,18,62,95,0.57,29.0,25.55391411960058,31.21708902357987,830.3,36.8,16.1,6.9,Surface,4,4679.2,Wheat,Wheat_Variety_4,Vermicompost,Brand_4,187.7,Post-emergence,Stem Borer,Low,Pesticide A,Seed Treatment,3598.3,3238-3958,156,Mechanical,Open Shed,38.11,0.31,16802.14,720.83,3001.55,1207.2,120329.07,No,None,Plant Maize in Loamy soil with Surface irrigation.,0.03,2024-11-29
Sugarcane,Sugarcane_Variety_4,Legume,Seeding,Loamy,Fine,6.06,3.53,65,69,93,1.5,30.9,27.14817712441043,33.98986689176644,651.2,53.3,18.9,10.6,Surface,1,846.2,Maize,Maize_Variety_1,MOP,Brand_3,54.5,Flowering,Stem Borer,None,Biological Control,Soil Drench,5487.4,4938-6036,103,Manual,Open Shed,38.5,0.75,7028.44,1433.41,4532.86,655.2,204236.46,No,None,Plant Sugarcane in Loamy soil with Surface irrigation.,0.29,2024-04-18
Barley,Barley_Variety_3,Legume,Seeding,Loamy,Coarse,7.56,4.34,23,67,86,0.66,27.4,24.287773515967316,29.76613709861671,848.5,49.6,5.5,7.7,Sprinkler,3,2125.7,Rice,Rice_Variety_5,Urea,Brand_6,219.2,Flowering,None,None,None,None,5329.7,4796-5862,148,Manual,Cold Storage,33.26,0.06,15119.0,793.4,4974.11,513.36,162146.82,Yes,Pest Resistance,Plant Barley in Loamy soil with Sprinkler irrigation.,0.27,2024-07-03
Soybean,Soybean_Variety_4,Legume,Vegetative,Sandy,Medium,7.6,4.93,88,55,23,0.92,21.8,18.212147614716827,26.34768322971917,1176.3,64.6,16.5,5.3,Sprinkler,5,3235.5,Soybean,Soybean_Variety_4,Vermicompost,Brand_9,116.7,Pre-plant,Leaf Spot,High,Biological Control,Seed Treatment,6994.9,6295-7694,98,Mechanical,Cold Storage,48.51,0.58,5021.22,1740.41,2304.14,764.98,334301.38,Yes,Pest Resistance,Plant Soybean in Sandy soil with Sprinkler irrigation.,0.45,2025-01-05
Barley,Barley_Variety_3,Fiber,Harvesting,Clay,Medium,7.58,3.61,7,17,17,1.42,16.7,12.96281425186573,19.370114034446598,1059.3,32.0,0.3,11.6,Sprinkler,6,4796.8,Cotton,Cotton_Variety_3,DAP,Brand_2,59.4,Flowering,Blight,None,None,Soil Drench,6833.4,6150-7516,141,Manual,Warehouse,27.01,0.57,6441.16,803.49,3728.75,677.7,178128.97,Yes,Drought Resistance,Plant Barley in Clay soil with Sprinkler irrigation.,0.43,2024-11-15
Potato,Potato_Variety_5,Legume,Vegetative,Sandy,Fine,5.74,3.15,77,66,17,1.45,36.7,34.34225666379466,40.492463706162155,681.6,55.4,5.3,9.4,Sprinkler,7,4096.9,Cotton,Cotton_Variety_5,DAP,Brand_10,162.8,Flowering,Blight,Low,Pesticide A,Seed Treatment,6302.9,5672-6933,82,Mechanical,Open Shed,35.45,0.45,11526.83,747.24,3188.07,890.08,211910.98,No,None,Plant Potato in Sandy soil with Sprinkler irrigation.,0.04,2024-05-16
Soybean,Soybean_Variety_3,Fiber,Vegetative,Sandy,Fine,6.7,2.74,83,15,35,0.61,18.7,13.712342990667,22.280946856183242,1163.3,66.2,6.8,6.9,Manual,6,1697.6,Sugarcane,Sugarcane_Variety_1,Vermicompost,Brand_8,176.7,Post-emergence,Stem Borer,High,Pesticide A,Seed Treatment,1626.0,1463-1788,94,Manual,Cold Storage,29.11,0.39,5810.11,1006.5,2690.26,680.67,41522.75,Yes,None,Plant Soybean in Sandy soil with Manual irrigation.,0.85,2024-06-07
Wheat,Wheat_Variety_2,Tuber,Seeding,Silty,Medium,5.8,3.07,62,87,42,0.29,39.0,35.66843082622421,41.660759730361534,467.7,76.7,2.4,8.5,Drip,2,3804.4,Rice,Rice_Variety_3,Vermicompost,Brand_10,56.7,Flowering,Aphids,Medium,Pesticide A,Soil Drench,1210.1,1089-1331,81,Mechanical,Cold Storage,12.06,0.41,5979.52,595.4,2119.46,1325.96,8614.29,Yes,None,Plant Wheat in Silty soil with Drip irrigation.,0.5,2025-04-11
Maize,Maize_Variety_5,Legume,Harvesting,Peaty,Fine,6.11,3.33,31,74,0,0.19,22.2,17.414519364488804,26.68502121911063,890.8,79.7,16.7,5.1,Manual,4,4665.8,Cotton,Cotton_Variety_4,NPK,Brand_3,51.4,Post-emergence,Leaf Spot,None,Neem Oil,Spray,3858.1,3472-4243,144,Mechanical,Cold Storage,48.01,0.69,6119.34,1103.97,4161.49,896.15,179108.04,No,None,Plant Maize in Peaty soil with Manual irrigation.,0.93,2025-01-21
Barley,Barley_Variety_3,Cereal,Flowering,Silty,Medium,6.35,3.81,92,0,20,0.6,30.0,25.644429081600258,34.6936287959121,398.0,33.6,2.5,4.8,Surface,7,3312.3,Cotton,Cotton_Variety_1,Compost,Brand_9,141.5,Flowering,Leaf Spot,Medium,Biological Control,Soil Drench,1737.5,1563-1911,104,Mechanical,Warehouse,46.95,0.99,9053.54,1267.46,4484.25,1303.2,72522.08,No,None,Plant Barley in Silty soil with Surface irrigation.,0.24,2024-12-17
Soybean,Soybean_Variety_3,Fiber,Seeding,Loamy,Coarse,7.84,1.05,81,33,12,0.26,18.7,13.73720436483881,23.548594054226676,889.0,75.6,10.2,9.1,Manual,3,804.5,Soybean,Soybean_Variety_2,Compost,Brand_9,63.6,Flowering,Aphids,Medium,Pesticide A,Soil Drench,2325.0,2092-2557,151,Manual,Open Shed,46.5,0.24,14823.62,1191.84,3385.31,1454.54,93288.88,No,None,Plant Soybean in Loamy soil with Manual irrigation.,0.93,2024-08-19
Maize,Maize_Variety_2,Cereal,Flowering,Loamy,Coarse,6.93,3.85,8,15,29,1.1,36.3,33.35994155738143,40.849348826887336,316.3,79.2,13.2,8.9,Surface,5,3416.3,Potato,Potato_Variety_2,DAP,Brand_7,201.1,Post-emergence,Aphids,Low,Neem Oil,Soil Drench,3964.9,3568-4361,175,Mechanical,Warehouse,22.81,0.37,9115.59,1450.59,4063.69,1298.8,81323.78,No,None,Plant Maize in Loamy soil with Surface irrigation.,0.76,2024-09-29
Sugarcane,Sugarcane_Variety_4,Tuber,Flowering,Loamy,Fine,7.44,4.57,33,30,88,1.19,37.0,34.17354277310144,40.69889661298207,412.6,75.4,9.1,8.6,Drip,6,2175.0,Rice,Rice_Variety_1,NPK,Brand_4,180.9,Flowering,Stem Borer,Medium,Pesticide A,Seed Treatment,2098.3,1888-2308,97,Mechanical,Warehouse,47.61,0.32,8522.86,647.43,3492.85,730.87,91377.2,No,None,Plant Sugarcane in Loamy soil with Drip irrigation.,0.03,2025-03-23
Potato,Potato_Variety_2,Fiber,Harvesting,Peaty,Fine,7.24,1.67,1,35,17,0.27,24.7,21.039775513813314,28.80206660882819,755.5,83.5,18.5,4.4,Drip,4,2160.0,Cotton,Cotton_Variety_5,Vermicompost,Brand_1,256.9,Pre-plant,Aphids,Medium,Pesticide A,Seed Treatment,2526.0,2273-2778,132,Mechanical,Cold Storage,18.8,0.02,15999.88,514.35,4270.67,1486.87,31488.92,No,None,Plant Potato in Peaty soil with Drip irrigation.,0.01,2024-07-24
Soybean,Soybean_Variety_4,Legume,Flowering,Silty,Medium,5.59,4.03,54,96,89,1.38,32.7,28.949460678234693,34.788454761143235,751.5,72.1,17.7,10.3,Drip,2,833.7,Sugarcane,Sugarcane_Variety_3,Compost,Brand_6,79.7,Pre-plant,Aphids,High,Fungicide B,Soil Drench,1583.1,1424-1741,168,Mechanical,Warehouse,44.63,0.86,7427.66,1517.96,1350.25,947.13,63226.09,Yes,Drought Resistance,Plant Soybean in Silty soil with Drip irrigation.,0.13,2025-03-27
Wheat,Wheat_Variety_3,Fiber,Flowering,Peaty,Coarse,7.96,3.13,14,67,35,1.3,15.9,13.558849461008752,19.89510996705659,724.8,52.7,13.2,4.8,Manual,6,1083.1,Wheat,Wheat_Variety_2,NPK,Brand_6,258.1,Pre-plant,Stem Borer,High,None,Soil Drench,4813.3,4331-5294,183,Mechanical,Warehouse,47.56,0.68,16944.38,816.41,1953.14,1196.2,211976.17,No,None,Plant Wheat in Peaty soil with Manual irrigation.,0.95,2024-06-02
Rice,Rice_Variety_5,Legume,Seeding,Sandy,Coarse,5.88,1.97,6,1,4,1.28,19.8,17.213886387013225,22.543024318363145,848.2,73.5,0.1,10.6,Manual,7,3568.8,Rice,Rice_Variety_2,Compost,Brand_7,258.3,Flowering,Stem Borer,Medium,Biological Control,Spray,3927.6,3534-4320,154,Mechanical,Open Shed,17.54,0.8,12359.85,1862.18,4473.48,957.2,56530.25,No,None,Plant Rice in Sandy soil with Manual irrigation.,0.95,2024-10-02
Wheat,Wheat_Variety_1,Fiber,Flowering,Loamy,Fine,7.13,4.24,62,86,18,0.36,24.6,21.577740494892343,29.02798111381651,1172.5,75.5,11.3,6.2,Drip,3,4770.2,Sugarcane,Sugarcane_Variety_5,Urea,Brand_5,82.8,Post-emergence,Stem Borer,None,Fungicide B,Spray,4307.0,3876-4737,159,Manual,Open Shed,33.0,0.86,15227.41,1599.91,4146.66,1438.18,126903.59,No,None,Plant Wheat in Loamy soil with Drip irrigation.,0.68,2024-05-01
Rice,Rice_Variety_4,Cereal,Harvesting,Silty,Coarse,6.58,1.99,54,36,98,1.17,34.5,31.22185499959627,37.12854974595464,1058.6,39.1,13.4,9.7,Drip,3,3751.8,Wheat,Wheat_Variety_2,Urea,Brand_2,294.8,Flowering,None,None,None,None,2970.0,2673-3267,141,Manual,Cold Storage,5.59,0.04,16907.96,1360.41,4826.12,986.56,-305.66,Yes,Pest Resistance,Plant Rice in Silty soil with Drip irrigation.,0.61,2024-10-06
Rice,Rice_Variety_1,Legume,Vegetative,Sandy,Fine,6.17,1.31,9,44,93,1.04,38.2,34.49535232249903,41.823070634433826,618.0,55.9,6.3,9.5,Sprinkler,1,1600.7,Maize,Maize_Variety_2,DAP,Brand_10,135.3,Pre-plant,None,None,None,None,3242.1,2917-3566,173,Manual,Warehouse,6.84,0.86,10619.79,941.19,3503.62,1070.47,11556.17,Yes,High Yield,Plant Rice in Sandy soil with Sprinkler irrigation.,0.04,2025-04-07
Barley,Barley_Variety_3,Legume,Vegetative,Chalky,Coarse,7.7,2.16,100,90,64,1.45,23.4,19.580761262378356,26.54738087365748,674.6,37.3,3.6,11.6,Surface,4,3557.6,Potato,Potato_Variety_3,Compost,Brand_7,273.5,Post-emergence,Leaf Spot,Low,Pesticide A,Seed Treatment,5070.3,4563-5577,178,Mechanical,Warehouse,34.24,0.54,9971.32,1096.98,1167.63,1089.3,163635.75,Yes,Pest Resistance,Plant Barley in Chalky soil with Surface irrigation.,0.75,2024-10-21
Rice,Rice_Variety_5,Cereal,Flowering,Peaty,Fine,5.83,1.95,23,96,54,0.95,15.3,11.96249855698659,18.509086217802373,714.9,52.6,4.3,7.8,Manual,3,2621.7,Barley,Barley_Variety_3,MOP,Brand_2,299.3,Post-emergence,Root Rot,Low,Biological Control,Spray,3588.7,3229-3947,133,Manual,Warehouse,28.52,0.25,6854.52,1405.74,4938.67,1394.67,95495.2,Yes,None,Plant Rice in Peaty soil with Manual irrigation.,0.55,2024-05-31
Sugarcane,Sugarcane_Variety_4,Cereal,Harvesting,Sandy,Fine,7.18,4.67,98,12,53,1.34,16.1,11.167903054656065,19.525136401306156,975.7,54.9,17.0,4.9,Sprinkler,6,3075.7,Maize,Maize_Variety_3,MOP,Brand_3,275.0,Pre-plant,Aphids,Low,Biological Control,Soil Drench,1172.0,1054-1289,145,Mechanical,Warehouse,7.39,0.46,9323.03,1342.85,3866.89,583.76,-661.95,No,None,Plant Sugarcane in Sandy soil with Sprinkler irrigation.,0.91,2024-11-11
Sugarcane,Sugarcane_Variety_5,Tuber,Flowering,Sandy,Coarse,6.39,4.92,49,23,19,1.25,17.5,15.369151339847395,21.74976626902684,1130.8,41.9,19.9,7.8,Manual,3,3675.3,Sugarcane,Sugarcane_Variety_5,MOP,Brand_7,80.6,Flowering,None,None,None,None,6465.9,5819-7112,98,Manual,Cold Storage,16.93,0.02,16545.97,1114.03,2903.6,874.57,92921.72,Yes,Drought Resistance,Plant Sugarcane in Sandy soil with Manual irrigation.,0.4,2024-08-30
Maize,Maize_Variety_3,Legume,Seeding,Chalky,Medium,7.35,3.0,40,17,3,0.22,19.2,15.156641921803091,21.45005488551686,944.5,89.9,6.2,6.0,Sprinkler,5,3927.7,Sugarcane,Sugarcane_Variety_3,MOP,Brand_1,282.9,Flowering,None,None,None,None,7415.8,6674-8157,169,Manual,Warehouse,30.82,0.29,12527.49,1388.54,1425.22,747.85,216027.47,No,None,Plant Maize in Chalky soil with Sprinkler irrigation.,0.66,2024-12-17
Barley,Barley_Variety_2,Cereal,Flowering,Loamy,Fine,6.17,4.99,94,11,2,0.58,31.1,27.185390198033943,35.05579805860391,1135.8,82.6,10.7,10.6,Sprinkler,6,3750.9,Soybean,Soybean_Variety_4,Urea,Brand_2,297.3,Flowering,Root Rot,Medium,Pesticide A,Soil Drench,5364.3,4827-5900,157,Mechanical,Cold Storage,16.8,0.27,5513.07,1156.78,4848.19,1212.81,84607.17,No,None,Plant Barley in Loamy soil with Sprinkler irrigation.,0.66,2024-08-03
Sugarcane,Sugarcane_Variety_1,Fiber,Seeding,Clay,Coarse,6.54,2.13,97,28,61,1.13,37.3,34.24367464527223,39.61368695224218,328.7,31.2,7.5,8.8,Manual,3,2523.4,Wheat,Wheat_Variety_5,DAP,Brand_10,269.4,Pre-plant,Root Rot,Medium,Pesticide A,Soil Drench,2868.6,2581-3155,151,Manual,Open Shed,29.94,0.38,12299.75,868.18,3093.26,726.23,73586.13,No,None,Plant Sugarcane in Clay soil with Manual irrigation.,0.01,2024-12-30
Cotton,Cotton_Variety_2,Tuber,Harvesting,Peaty,Medium,7.3,4.96,42,69,51,1.33,28.3,25.00188736905277,31.60362479479226,492.1,62.0,4.3,6.4,Sprinkler,3,846.3,Barley,Barley_Variety_1,Urea,Brand_2,288.4,Pre-plant,Stem Borer,Medium,Fungicide B,Spray,3246.5,2921-3571,140,Mechanical,Warehouse,16.7,0.6,15196.02,572.03,2166.5,913.57,39020.53,Yes,High Yield,Plant Cotton in Peaty soil with Sprinkler irrigation.,0.22,2024-09-15
Sugarcane,Sugarcane_Variety_5,Fiber,Flowering,Loamy,Coarse,7.99,1.16,3,41,38,0.91,21.0,17.693662480977327,24.344495245783065,433.8,57.2,3.9,10.7,Sprinkler,3,3588.5,Soybean,Soybean_Variety_5,MOP,Brand_5,181.4,Flowering,None,None,None,None,6699.4,6029-7369,94,Mechanical,Cold Storage,39.52,0.66,7153.1,1392.94,4598.22,839.38,257607.19,Yes,Pest Resistance,Plant Sugarcane in Loamy soil with Sprinkler irrigation.,0.64,2024-07-12
Wheat,Wheat_Variety_2,Legume,Vegetative,Loamy,Fine,5.87,4.78,31,7,47,1.32,39.4,34.80811479616379,43.75492878874268,316.0,89.0,3.5,10.8,Drip,1,4653.9,Maize,Maize_Variety_4,MOP,Brand_6,237.5,Post-emergence,None,None,None,None,1593.3,1433-1752,128,Mechanical,Open Shed,28.43,0.64,8552.69,1758.0,3671.34,744.52,36744.83,Yes,Pest Resistance,Plant Wheat in Loamy soil with Drip irrigation.,0.03,2024-07-25
